Age,PremiumType,Occ,Gender,BenefitPeriod,Rate
 19 ,Stepped,WC,M,1,3.004
 20 ,Stepped,WC,M,1,3.004
 21 ,Stepped,WC,M,1,3.004
 22 ,Stepped,WC,M,1,3.004
 23 ,Stepped,WC,M,1,2.986
 24 ,Stepped,WC,M,1,2.958
 25 ,Stepped,WC,M,1,2.970
 26 ,Stepped,WC,M,1,2.970
 27 ,Stepped,WC,M,1,3.036
 28 ,Stepped,WC,M,1,3.033
 29 ,Stepped,WC,M,1,3.008
 30 ,Stepped,WC,M,1,3.060
 31 ,Stepped,WC,M,1,3.093
 32 ,Stepped,WC,M,1,3.088
 33 ,Stepped,WC,M,1,3.167
 34 ,Stepped,WC,M,1,3.260
 35 ,Stepped,WC,M,1,3.295
 36 ,Stepped,WC,M,1,3.226
 37 ,Stepped,WC,M,1,3.317
 38 ,Stepped,WC,M,1,3.430
 39 ,Stepped,WC,M,1,3.561
 40 ,Stepped,WC,M,1,3.754
 41 ,Stepped,WC,M,1,3.912
 42 ,Stepped,WC,M,1,4.076
 43 ,Stepped,WC,M,1,4.253
 44 ,Stepped,WC,M,1,4.583
 45 ,Stepped,WC,M,1,4.814
 46 ,Stepped,WC,M,1,5.242
 47 ,Stepped,WC,M,1,5.519
 48 ,Stepped,WC,M,1,5.832
 49 ,Stepped,WC,M,1,6.388
 50 ,Stepped,WC,M,1,7.106
 51 ,Stepped,WC,M,1,7.753
 52 ,Stepped,WC,M,1,8.466
 53 ,Stepped,WC,M,1,9.294
 54 ,Stepped,WC,M,1,10.214
 55 ,Stepped,WC,M,1,11.441
 56 ,Stepped,WC,M,1,12.572
 57 ,Stepped,WC,M,1,14.086
 58 ,Stepped,WC,M,1,15.580
 59 ,Stepped,WC,M,1,17.080
 60 ,Stepped,WC,M,1,18.796
 61 ,Stepped,WC,M,1,20.612
 62 ,Stepped,WC,M,1,22.809
 63 ,Stepped,WC,M,1,23.769
 64 ,Stepped,WC,M,1,23.283
 19 ,Stepped,WC,M,2,3.004
 20 ,Stepped,WC,M,2,3.004
 21 ,Stepped,WC,M,2,3.004
 22 ,Stepped,WC,M,2,3.004
 23 ,Stepped,WC,M,2,2.986
 24 ,Stepped,WC,M,2,2.958
 25 ,Stepped,WC,M,2,2.970
 26 ,Stepped,WC,M,2,2.970
 27 ,Stepped,WC,M,2,3.036
 28 ,Stepped,WC,M,2,3.033
 29 ,Stepped,WC,M,2,3.008
 30 ,Stepped,WC,M,2,3.060
 31 ,Stepped,WC,M,2,3.093
 32 ,Stepped,WC,M,2,3.088
 33 ,Stepped,WC,M,2,3.167
 34 ,Stepped,WC,M,2,3.260
 35 ,Stepped,WC,M,2,3.295
 36 ,Stepped,WC,M,2,3.226
 37 ,Stepped,WC,M,2,3.317
 38 ,Stepped,WC,M,2,3.430
 39 ,Stepped,WC,M,2,3.561
 40 ,Stepped,WC,M,2,3.754
 41 ,Stepped,WC,M,2,3.912
 42 ,Stepped,WC,M,2,4.076
 43 ,Stepped,WC,M,2,4.253
 44 ,Stepped,WC,M,2,4.583
 45 ,Stepped,WC,M,2,4.814
 46 ,Stepped,WC,M,2,5.242
 47 ,Stepped,WC,M,2,5.519
 48 ,Stepped,WC,M,2,5.832
 49 ,Stepped,WC,M,2,6.388
 50 ,Stepped,WC,M,2,7.106
 51 ,Stepped,WC,M,2,7.753
 52 ,Stepped,WC,M,2,8.466
 53 ,Stepped,WC,M,2,9.294
 54 ,Stepped,WC,M,2,10.214
 55 ,Stepped,WC,M,2,11.441
 56 ,Stepped,WC,M,2,12.572
 57 ,Stepped,WC,M,2,14.086
 58 ,Stepped,WC,M,2,15.580
 59 ,Stepped,WC,M,2,17.080
 60 ,Stepped,WC,M,2,18.796
 61 ,Stepped,WC,M,2,20.612
 62 ,Stepped,WC,M,2,22.809
 63 ,Stepped,WC,M,2,23.769
 64 ,Stepped,WC,M,2,23.283
 19 ,Stepped,WC,M,5,3.806
 20 ,Stepped,WC,M,5,3.806
