Age,PremiumType,Occ,Gender,BenefitPeriod,Rate
 19 ,Stepped,WC,M,1,7.511
 20 ,Stepped,WC,M,1,7.511
 21 ,Stepped,WC,M,1,7.511
 22 ,Stepped,WC,M,1,7.511
 23 ,Stepped,WC,M,1,7.465
 24 ,Stepped,WC,M,1,7.394
 25 ,Stepped,WC,M,1,7.424
 26 ,Stepped,WC,M,1,7.424
 27 ,Stepped,WC,M,1,7.589
 28 ,Stepped,WC,M,1,7.582
 29 ,Stepped,WC,M,1,7.520
 30 ,Stepped,WC,M,1,7.650
 31 ,Stepped,WC,M,1,7.733
 32 ,Stepped,WC,M,1,7.720
 33 ,Stepped,WC,M,1,7.918
 34 ,Stepped,WC,M,1,8.150
 35 ,Stepped,WC,M,1,8.237
 36 ,Stepped,WC,M,1,8.066
 37 ,Stepped,WC,M,1,8.292
 38 ,Stepped,WC,M,1,8.575
 39 ,Stepped,WC,M,1,8.902
 40 ,Stepped,WC,M,1,9.386
 41 ,Stepped,WC,M,1,9.781
 42 ,Stepped,WC,M,1,10.190
 43 ,Stepped,WC,M,1,10.633
 44 ,Stepped,WC,M,1,11.458
 45 ,Stepped,WC,M,1,12.036
 46 ,Stepped,WC,M,1,13.106
 47 ,Stepped,WC,M,1,13.798
 48 ,Stepped,WC,M,1,14.579
 49 ,Stepped,WC,M,1,15.970
 50 ,Stepped,WC,M,1,17.766
 51 ,Stepped,WC,M,1,19.383
 52 ,Stepped,WC,M,1,21.165
 53 ,Stepped,WC,M,1,23.236
 54 ,Stepped,WC,M,1,25.534
 55 ,Stepped,WC,M,1,28.603
 56 ,Stepped,WC,M,1,31.429
 57 ,Stepped,WC,M,1,35.216
 58 ,Stepped,WC,M,1,38.951
 59 ,Stepped,WC,M,1,42.700
 60 ,Stepped,WC,M,1,46.990
 61 ,Stepped,WC,M,1,51.531
 62 ,Stepped,WC,M,1,57.023
 63 ,Stepped,WC,M,1,59.422
 64 ,Stepped,WC,M,1,58.207
 19 ,Stepped,WC,M,2,7.511
 20 ,Stepped,WC,M,2,7.511
 21 ,Stepped,WC,M,2,7.511
 22 ,Stepped,WC,M,2,7.511
 23 ,Stepped,WC,M,2,7.465
 24 ,Stepped,WC,M,2,7.394
 25 ,Stepped,WC,M,2,7.424
 26 ,Stepped,WC,M,2,7.424
 27 ,Stepped,WC,M,2,7.589
 28 ,Stepped,WC,M,2,7.582
 29 ,Stepped,WC,M,2,7.520
 30 ,Stepped,WC,M,2,7.650
 31 ,Stepped,WC,M,2,7.733
 32 ,Stepped,WC,M,2,7.720
 33 ,Stepped,WC,M,2,7.918
 34 ,Stepped,WC,M,2,8.150
 35 ,Stepped,WC,M,2,8.237
 36 ,Stepped,WC,M,2,8.066
